BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
GATA3	DDX51	COL11A1	TVP23C	TEK	SRSF12	ASPN	RERG	PLN	CD4	FLCN	WASF1	COX8A	NOVA2
PRLR	DBT	BCL11B	NPHP4	SLC4A8	CLIP3	TRIO	COL4A1	HCN4	CYSLTR1	STEAP3	SF3A1	DAGLA	KANK3
TNFRSF21	RRP12	SMPDL3B	TIAM1	HYAL2	LRRC4C	ADAMTS19	AURKB	PLCXD3	RASAL3	TANGO2	OGFOD1	MRPS25	HLX
SCARF1	PAN2	PKHD1L1	LTC4S	GALNT6	FAM126B	RGS16	HSD11B1	CMYA5	CARD9	SLC38A5	C15orf61	ZNF763	RGS20
AMIGO2	ACP6	FST	TIAM2	GPAT2	IFFO1	RGS4	PRCD	PDE4DIP	SCIMP	NHLRC4	LRR1	NTPCR	GRIA2
CCSER1	ZNF91	ATR	NTRK2	SPATA13	SKIDA1	CASS4	ARMC9	CAMK2A	TNFSF13B	FHDC1	TRMO	VDAC1	CLDN7
AMH	ALG10B	IL6	ZNF589	ACSL5	TMEM161B	TENM4	COL6A3	TMTC1	TLR2	NCOA4	NME7	RHOF	GIPC3
CCDC180	ZXDB	ALDH1A2	SH3TC1	NPDC1	MAGI3	RPP25	PCYT1B	CACNA1C	MYO1F	DEDD2	KHK	UQCRHL	CTNNBIP1
CCPG1	SIK2	HOXB3	JAK3	IL33	FAM110B	MMP11	TNC	TECRL	RBM47	MAP2K3	C12orf75	DAPK2	TNNT3
PHOSPHO2	PGPEP1	SLC51A	DLGAP1	ADAM15	PRKAB2	LOXL4	GUCY1A2	MYL2	OGFRL1	MKRN1	PUS10	GORASP1	ICAM2
OIT3	TEAD1	SLITRK6	C11orf96	GPER1	NPIPA1	KCNIP1	PPM1J	VSTM2L	RAB20	SLC7A5	ALKBH1	SP2	PIK3CG
GBP4	ZNF529	SYT4	EPHB4	CC2D2B	C7	NUPR1	NBPF14	POPDC2	SLC9A9	ARL4A	BYSL	PPP1CC	SH3RF3
ADCYAP1	CAPN10	DPP6	CYTL1	SLC26A7	ITPR3	BDNF	CAMK4	CACNB2	IKZF1	ADD2	TMEM218	GBGT1	KCNE3
TUBB2B	PARG	CD22	TBC1D4	LSAMP	IL17RC	CDH10	SLC16A12	LMO7	VAMP8	TRIB3	SSH3	DESI1	EPHX4
CSNK2A3	ZRANB3	MMP24	PTPRS	SELP	LRRC75B	GAP43	ADAMTSL3	MYLK3	TBXAS1	HAGH	ZNF14	COA7	DOCK4
MMP28	ZCCHC2	SLC34A2	HAPLN3	PAMR1	OLFM1	C1QTNF3	ACTA2	HOPX	DEF6	HIST1H2BC	ERVK3-1	HSPE1	C1orf54
C2CD2	NACAD	NELL1	SALL1	FGD5	CYTH3	RNF112	FHL3	KCNQ5	GLIPR1	DDIT3	TRIM39	CYC1	ZNF710
PLA2G4A	C7orf31	COL8A1	CDK1	HHAT	NACC2	LRTM1	AFAP1L2	LSMEM2	RUNX1	CMPK2	ZNF559	TMEM102	KCNC4
PDE7B	BAHD1	ANKRD29	LRP4	SP6	BEAN1	MMP19	PHLDB3	MYL3	ARRB2	SLC1A5	MED25	VEGFB	BAHCC1
ITGA8	ZNF654	SLIT3	PKIB	KANK3	SP1	NPY5R	SPRED2	TMEM71	METTL7B	CCNDBP1	GMPR2	CCNB2	ARHGEF3
ADGRF5	TYW1B	GABRA2	ADARB1	ADCY4	HSD17B11	ZNF503	P2RY1	TACC2	MARCH1	MARCH2	BRIX1	PHACTR1	SHANK3
DCLK1	FOXJ2	KNDC1	TFF3	COL13A1	EDIL3	HRK	ADCY3	JPH1	CASP1	ACHE	MKRN2	NUDT11	ABLIM3
SNCAIP	FRAT1	LAMA5	HHEX	NTRK1	HIST1H4E	GAS2	SPHK1	C10orf71	ALDH3B1	S100A6	TAPT1	DNAJC21	GRB10
NRG1	RABGEF1	MMEL1	FAM162B	PCDH19	BRWD3	GFRA1	INAFM1	HRH2	SFMBT2	OPTN	PXK	CYCS	SHROOM1
NPR1	ZBTB34	CLDN15	MARVELD2	USHBP1	RAB38	ELOVL4	RAPH1	RASL10B	CD36	GADD45A	SETMAR	DDT	THSD1
GDF5	TPCN2	CA3	EBF1	FLT3LG	SNX33	EPHA5	FBLN7	PRKAA2	HLA-DPB1	GADD45G	NRSN2	UQCRB	USHBP1
ANKRD45	GOLGA8A	HHIP	CLPB	GALNT3	ATOH8	HPSE2	C3orf70	BMP5	CD83	MXI1	ATPAF2	EEF1G	TOX2
GRAMD1B	GAS8	CXADR	HDX	POLN	SULT1C4	DHRS2	PCDHGC3	CDS1	CAPG	S100A4	HERC5	ZCCHC3	PCDH17
GDPD5	FRAT2	ARHGEF26	FSCN1	CYP7B1	GNPTG	GFPT2	FUT4	CYFIP2	NFAM1	TAL1	SETD1B	YBX1	RASGRP3
PATJ	CDKL5	MEDAG	LRRC8C	GPR4	SPOCK3	PAPPA	AREG	FAM189A2	GPNMB	IQGAP2	SPIN2B	TTLL1	PECAM1
NBL1	MAN1C1	ITGA3	DARS2	ACKR3	TGFB3	ITIH3	TAGLN	CLGN	RNASET2	TMEM86B	HYAL3	SLC25A5	RP1
PCDH7	TAF4	JPH4	ROBO3	SLC16A14	WHAMM	MMP23B	ZSCAN25	TNNC1	MERTK	ABTB1	AGTPBP1	SMIM10	OIT3
SERINC5	MTX3	LIF	C3orf33	AKR1E2	FANK1	CREB3L1	PLPP1	KLHL31	A2M	MTURN	U2AF1L4	ARHGAP17	SEMA3G
DNASE1L3	SOS2	IGSF9	FAM124B	PLA2G5	STXBP5	KLF5	SPARCL1	SLC4A3	SAMHD1	DDB2	TSGA10	RBBP9	HSPG2
PCDH15	RGPD5	LY6H	C6orf52	DIS3L2	MMP2	LRAT	C17orf107	TNNI1	PTGER4	MAP1LC3B2	CCNJ	PFAS	CXCR4
ADSS	TADA1	RELN	IFI44	SLC25A18	GLIPR1L2	CACNB4	NFATC4	KCNH2	MAF	APOBEC3C	MAPK8	SLC25A4	ADAM15
COLEC10	SIN3A	GRB7	RAI2	LGALS9	GPHN	BPI	SCT	SPSB4	RELT	CHST11	POLR1E	BET1L	DGKD
TMEM30B	TSPYL5	STK26	CDH13	ITPR1	CUEDC1	NPTX2	SPRED1	STAT4	BCL2A1	SPN	ZNF677	COX7B	FAM219A
IRX3	CLEC2D	FGD3	FBXO10	CALCRL	RUSC2	CXCL2	TMEM231	MITF	LGMN	ST6GALNAC1	ZNF277	NSUN4	VWA1
MTA2	MCCC2	MOCOS	KHDC1	PIEZO1	SERPINF1	THBS2	PTPRZ1	RIMKLA	BTK	SIAH2	POLR3GL	FAM221A	HID1
ETNK2	PIK3R4	CDH6	HYKK	LY6G5C	MTMR9	COL14A1	PIEZO2	SRPK3	PRDM1	BEX1	PI4KB	GCN1	TNFAIP8L1
ZNF235	ZBTB5	FAM20A	NMB	LRIG1	C5	CACNA1A	NPAS1	GRB14	FGR	FAM184A	AGER	PCIF1	ICOSLG
P4HA3	PTPN23	S100A10	PHF19	GRASP	PTCH1	THBS1	EPHA3	RNF175	PTPRJ	PRRT1	TMEM52	VDAC2	NLRP12
PLXNA4	ZNF619	SEMA3B	SMAGP	PCDHB7	PRDM11	SMOC2	AGT	PLIN5	ABCG2	TSPAN17	EIF2B3	TRPT1	CBFA2T3
DUSP4	ZNF320	PARD6B	LTB	ABCA3	DHX58	C1R	NBPF10	PPP1R12B	STAC3	FZD5	PSMC3IP	DHRS3	KIAA1147
